,summary,access,interaction,house_rules,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
395,"For your Boston visit, choose this Victorian mansion in historic Jamaica Plain, with its spacious, living room/bedroom suite and charming tile bath with double shower.  Refrigerator, convection hot plate, dishes, utensils, cooks ware, microwave, coffee maker and sink all within the suite.  Just a five minute walk out your door to the subway to any where in Boston.","Your living room, dining area, and bedroom plus private bath.",We live in the first floor apartment and are always happy to offer any assistance or suggestions that will make your stay in Boston fabulous.,Relatively quiet after 10 in the evening.,2015-09-29,within a few hours,100%,77%,f,4,Jamaica Plain,Jamaica Plain,,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,179.0,,,2,$45.00,2,1125,15,83.0,f,f,flexible,1.33
396,Our trendy but homey condo will be perfect for your stay.  It accommodates up to 6 guests and is located on a quiet private street just steps from the Orange Line.  Enjoy a peaceful getaway with all that Boston has to offer just a short T ride away!,,"We normally only rent our space when we're out of town as this is where we live.  So we are available by phone, text, email but will most likely not be able to meet you in person for your stay.","No Smoking inside the apartment No Pets When possible, please remove shoes at entryway.  This is our home so please treat it as you would your own and tidy up upon your checkout.",2011-10-08,,,,f,1,Jamaica Plain,Jamaica Plain,,t,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,175.0,$200.00,$30.00,4,$10.00,2,1125,2,90.0,f,f,flexible,0.35
397,"Simple comfort. Our 550 sq ft  studio has an inviting, open layout & private patio that will fulfill all your needs for your next excursion to Boston. Our apartment is located 60 meters from the Stoney Brook T stop on the Orange line (16 minutes to downtown).",Guests may use the coin-op washer and dryer at the house.,,"This is a no-smoking apartment. If you do smoke outside, please dispose of the cigarettes properly.  No pets are allowed.",2013-02-17,within a few hours,100%,78%,f,1,Jamaica Plain,Jamaica Plain,,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,Essentials}",,125.0,$400.00,$50.00,2,$20.00,6,1125,67,91.0,f,f,moderate,1.87
398,"Live like a townie. Jamaica Plain loft with 2 proper beds (queen and twin), 2 futons. 18 foot ceilings make for an airy open bright space. local parks. 2 blocks from the subway, minutes from downtown Boston!!","Stuff near my place. 2 minute walk to MBTA (subway/orange line). 15 minutes train ride to downtown Boston , 10 minutes by bike. 25 minute  train ride to Cambridge . Near all major Boston colleges, Fenway Park, Boston Garden, Back Bay....  Banks, Post Office, on Center St. near Green St. The best bakery / coffee / meals is at Canto 6 on green st and Washington st. Other good bakery / coffee /meals is at Ula cafe 284 Amory .  Liquor Store - Blanchards  (best) 741 Center St.   Stonybrook Liquors  Boylston St and Lamartine st. City Feed coffee , sandwich and fancy groceries Boylston St. and Chestnut. Ave. Grocery Store,  Whole Foods 413 Center (email hidden).  3 fun bars make a true BAHSTON night out . They are all on the same block of Washington st. at William's St.  Doyle's: (ancient boston landmark,pints food) , Midway: (live music/rock n roll), Drinking Fountain: (pool tables/jukebox). Other good Bostownie places... Brendan Behan , James Gate (food) , Galway House (american/food), the ","available by text and email Usually when my house is booked , I stay 3 doors down so I'm very available to give advice , show the house, fit you on a bike....","no inside smoking, quiet(ish) after 11, help yourself to condiments, oils, spices, coffee. use of bikes at your own risk. No parties. I'm super tight with neighbors and usually I'm staying 2 doors down.",2012-04-27,within a few hours,100%,67%,f,1,Jamaica Plain,Jamaica Plain,,t,Loft,Entire home/apt,4,1.0,2.0,4.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials}",,220.0,$600.00,$60.00,4,$60.00,3,60,17,96.0,f,f,moderate,0.59
402,Located in the Longwood Medical Area.  Every apartment has a balcony to show off the City.,,,,2014-07-16,within a few hours,97%,81%,f,21,Mission Hill,Mission Hill,,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in""}",,239.0,,$50.00,1,$5.00,2,1125,4,90.0,f,f,moderate,0.83
403,"This is an apartment located across street from Boston MBTA orange lane, which help you arrives in downtown Boston within 10 minute.Walking to local eateries and entertainment all within reach. Etc, Dunkin Donuts, TGI Fridays and Domino's.",,,,2015-07-07,,,,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,{},,75.0,,,1,$0.00,1,1125,5,64.0,f,f,flexible,0.35
404,"Come crash in the living room of my former brewery now modern loft. It still has it's high, exposed ceilings. It's minutes from the Orange Line (public transportation) and some weekends will have a bike for you to borrow! Perfect place to stay.","You'll have access to the living room with our wide selection of movies and wifi, garage, wash/dry in the unit (or bigger ones you can use for families downstairs), and a beautiful tub to soak in.","My roommate, Hunter, is fantastic.  He'll be in and out and enjoys movies and works in the local restaurant scene.  I'm normally in Boston and am just a short bike ride away if there is anything wrong.","Your our guest, so please make yourself at home. Be clean! Hunter and I keep a tight ship around the apartment and we'd like our guests to be as clean as us. =) Speak up! Let us know if you need anything.  Party down (if you let us know).  We aren't huge partiers, but if you like to listen to music or watch loud TV, let us know ahead of time.  This is important.",2011-08-12,within a day,100%,75%,f,3,Mission Hill,Mission Hill,,t,Loft,Private room,2,1.0,1.0,1.0,Airbed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Doorman,Breakfast,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,30.0,,$25.00,1,$0.00,1,2,2,100.0,f,f,moderate,0.3
405,"This great private bedroom is apart of a modern 4 bed apartment. It features a walk in closet, and a shared bathroom. The apartment is located near public transportation and bunch of attractions! Right next to the Colleges of Fenway, Harvard Med, Longwood Medical area, and great restaurants in area!","Guest will have access to a 3 story apartment with one private bedroom located on second floor. Washer and dryer available on the same floor. Living room features an elegant 60"" TV and very nice and comfortable sofas. Kitchen is made from stainless steel appliances and granite counter trops. The kitchen also features a dishwasher and a bunch of useful appliances. Parking is available for extra $.",,"Guest is expected to behave in a nice and orderly manner with respect to other roommates and neighbors. The guest is expected to keep the WHOLE apartment in the same condition they found it in, including the bedroom and bathrooms.",2016-05-05,within a few hours,100%,50%,f,1,,Mission Hill,,f,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,45.0,$500.00,$75.00,1,$25.00,20,30,1,100.0,f,f,strict,1.0
406,"Two rooms available that can sleep up to 5 people. One room has a double bed, the other has bunk beds and an air mattress. You will have access to a full kitchen and the living room, with TV. The bath is shared.","Guests will have their own bedroom(s) (up to 5 people, access to the living room and TV, as well as the full kitchen. Their is only one bathroom in the apartment and that is shared with all guests and me.",I enjoy getting to know my guests. If I am in the living room and/or kitchen please feel free to come talk to me. I will retreat to my bedroom if I need me time.  ,"1. No additional guests not part of the reservation in the building at all.  2. No Pets 3. No Smoking  4. No Children under 10. (The house is not child proof) 5. Remove your shoes 6. Check in is 3-11pm  7. Check out is 10am  *early check in or late check out must be arranged before the reservation starts and may not be accommodated* 8. The bathroom is a shared space, keep the sink clear, there is limited room for your bath products in the shower. 9. No Parties",2013-07-23,within a few hours,100%,100%,f,3,Mission Hill,Mission Hill,,t,Condominium,Private room,5,1.0,1.0,5.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,160.0,$300.00,$25.00,4,$20.00,3,30,13,83.0,f,f,moderate,0.35
409,"The room is big, and will come furnished with a bed, desk, and shelves. It also has a big built in closet and nice hard wood floor.  The room has a private door to the balcony/ backyard.  We have a grill outside so there will be cookouts!",You will have access to everything!,"I will not be around, but my roommates will definitely interact with you!",,2016-04-09,within a day,100%,100%,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,55.0,,$15.00,2,$15.00,1,1125,3,93.0,f,f,strict,0.88
410,"Basement room in an apartment located close to Riverway station of the Green Line -  Branch E. It has a full bed, a small desk and closet. House has 2 bathrooms, living room, kitchen, 2 rooms on ground floor and 2 on the basement.","Guests have access to the kitchen, TV, internet, living room.","Some times I am traveling, so I don't really interact, but I text them. When I am around, I usually talk to them everyday.","• Check-in time is 4PM. As me and my roommates are students, we often need to concentrate and study at home, what requires the environment to be quiet and silent. We like to party on the weekends though!",2014-08-05,within a few hours,90%,94%,f,3,,Mission Hill,,f,Apartment,Private room,4,2.0,1.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Hair Dryer"",""Laptop Friendly Workspace""}",,79.0,,$30.00,1,$59.00,3,60,28,90.0,f,f,strict,1.53
412,"I am traveling in May and am looking for a tenant for my bedroom. The house is in Mission hill and its brand new, with wood floors, marble countertops and two bathrooms. I have 3 roommates who will continue living here in May.",,,,2014-12-28,,,,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,{},,79.0,,,1,$0.00,1,1125,5,92.0,f,f,strict,0.31
416,"Bienvenue! Welcome to my warm, spacious and light-filled Mission Hill apartment. This is a listing of the private guest room. Conveniently located close to the Longwood Medical area and steps from multiple public transportation options. Enjoy Boston!","Guests have access to everywhere save the master bedroom. Kitchen is stocked with utensils, cooking and baking materials and common kitchen electronics/equipment. The deck is also accessible from the rear of the building.","I have a busy job and will not be present much during the day. When I am around, I am always happy to chat  over a drink/meal and  share ideas about what to do in the city.","Be thoughtful and considerate! Be kind to the space and place things back in their place after use.  It is a shoe-free apartment; please use the shoe racks and freely borrow the in-door slippers if you need one. Please ask before bringing visitors, and sorry I can only allow the number of guest on the reservation to stay overnight.  Please No smoking anywhere (even on the balcony) and No pets; I am allergic to both! But most importantly feel at home :).",2009-12-16,within a few hours,90%,92%,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",,105.0,,,1,$35.00,2,1125,23,93.0,f,f,moderate,1.69
418,"Enjoy the comforts of home in this roomy, fully furnished bedroom located on it’s own private floor. My home is tucked away on a quiet cul de sac in Mission Hill, close to JP's Centre Street and the Heath St T stop. Booking is for single guests only. No overnight guests, please","Guests have access to the bathroom (shared with just me) on the second floor, shared kitchen and living space on the third floor.","Unless I plan a last minute trip, I will most likely be home during your stay and will be available for questions. Either way, I am always available by phone. When I am home, I am usually out and about, so you will have lots of space and time to yourself. ","I expect guests to be neat, reasonably quiet and respectful especially when using shared spaces of my home. Please no pets or smoking on the property. Before booking, please take care to thoroughly complete your profile, including a photo. I live alone and like to have a feel for  who my guests are before welcoming them into my home. The apartment is open to Airbnb guests only. No overnight guests please.",2010-09-04,within an hour,100%,71%,t,1,Mission Hill,Mission Hill,,t,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,85.0,,$20.00,1,$0.00,2,1125,34,99.0,f,f,moderate,1.44
419,"My place is close to Brigham and Women's Hospital, Beth Israel Deaconess, Harvard Medical School, Wentworth, Northeastern. Whether you're here exploring Boston, attending a conference, or visiting one of Boston's many hospitals, our house is a great place to stay!","Guests can use anything in the house. Cook a meal in the kitchen, hang out on the back porch, or have a jump on our trampoline!","I live upstairs in a separate apartment with my roommates Josh and Andrew. I'll be around in the evenings to help you get acquainted with the area. If you're looking for a more social experience, come stay upstairs with us in our other listing! https://www.airbnb.com/rooms/5969852",,2011-04-19,within an hour,100%,100%,f,3,Mission Hill,Mission Hill,,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,110.0,,,1,$10.00,2,28,8,98.0,f,t,moderate,3.29
420,"Very nicely appointed apartment in an economical, high-rise building located within minutes of Brigham and Women's Hospital, Dana Farber Cancer Center and Children's Hospital.",,,NO Smoking.,2009-07-10,within a few hours,89%,45%,f,558,Mission Hill,Mission Hill,,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,199.0,,$150.00,1,$0.00,30,730,1,87.0,f,f,super_strict_30,0.02
421,"My place is close to Green line (T station),Wok N Talk, Hubway Bike Rental station, Sushi Station, Subway, Crispy Dough, Mikes Donuts, Lilly's, 7-11, Shell, JP Licks, Bank of America, TD Bank, Haley House Bakery Cafe, La Morra. You’ll love my place because of the location and the people. My place is good for couples, solo adventurers, and business travelers.",,,,2016-06-16,within an hour,100%,100%,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,45.0,,$15.00,1,$0.00,7,17,1,80.0,f,f,flexible,1.0
422,"Very nicely appointed apartment in an economical, high-rise building located within minutes of Brigham and Women's Hospital, Dana Farber Cancer Center and Children's Hospital.",,,NO Smoking.,2009-07-10,within a few hours,89%,45%,f,558,Mission Hill,Mission Hill,,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",,269.0,,$150.00,1,$0.00,30,730,2,96.0,f,f,super_strict_30,0.05
423,"Cozy bedroom, queen size bed, in a full apartment with kitchen, TV, bathroom, laundry in the building, and utensils all included. Close to the metro station (Orange Line - 6 minutes and green line - 8 minutes walk). Walkable distance to supermaket, pharmacy and downtown.",,,,2012-10-01,,,,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",,69.0,,$30.00,1,$10.00,1,1125,8,75.0,f,f,flexible,0.52
425,"Private room in the city of Boston. Steps away from public transportation, stores and restaurants.  Available temporarily in summer months. Please ask if you have questions.",Share common area (Eat-in kitchen and 1.5 bathrooms) with male roommates who are visiting scholars from China. NOTE: There is no living room in the apartment.,"I am available via phone, texts and email. Feel free to contact me if you need assistance.","No smoking, drugs, alcohol or pets allowed in the property, including the balcony. No overnight guests or parties.",2014-12-17,within a day,100%,100%,f,1,Mission Hill,Mission Hill,,t,House,Private room,2,1.5,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,45.0,$200.00,$6.00,1,$10.00,3,1125,4,85.0,f,f,moderate,1.03
426,"Our home, located only about a 5 minutes walk to 6 hospitals and 12 schools! If you're needing to get to another part of the city, there's the Orange line and Green line trains only about 3 minutes from the house. Whether you're here exploring Boston, attending a conference, or visiting one of Boston's many hospitals, our house is a great place to stay!","Guests can use anything in the house. Cook a meal in the kitchen, hang out on the back porch, or have a jump on our trampoline!","I live upstairs in a separate apartment with my roommates Josh and Andrew. I'll be around in the evenings to help you get acquainted with the area. If you're looking for a more social experience, come stay upstairs with us in our other listing! https://www.airbnb.com/rooms/5969852",,2011-04-19,within an hour,100%,100%,f,3,Mission Hill,Mission Hill,,t,House,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,70.0,,,1,$0.00,3,28,6,100.0,f,t,moderate,3.0
427,"Private entrance; private bath; 5 minute walk to Heath St Green Line E branch subway; Close to hospitals, Museum of Fine Arts, Fenway Park.",,,"No smoking, no pets. Rest of the house is a mix of classical and jazz musicians, so bring your instrument if you want to jam.",2016-03-16,within a few hours,100%,91%,f,1,Mission Hill,Mission Hill,,t,House,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",""Laptop Friendly Workspace""}",,70.0,,$10.00,2,$10.00,1,1125,7,86.0,f,f,flexible,2.1
429,"Great sizable room in premium location, in front of the bus/train stop (E green line). Easy access to downtown Boston, fast-food restaurants and supermarkets. Walking distance to longwood medical area",Access to the kitchen and living room. Laundry at the basement.,,,2013-01-12,within an hour,100%,60%,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,5,2.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,99.0,,$30.00,1,$39.00,4,60,14,83.0,f,f,strict,0.79
430,"Simple apartment just off of Huntington Ave. in Mission Hill. Short walk to Longwood Medical Area schools and hospitals. Many amenities around, including public transportation, groceries and bars/restaurants. Long-term stays are preferred",Shared laundry room set up with washer and dryer 8 quarters ($2.00) for each = total $4.00 per load,"I will not be occupying the space. However, I will personally come greet guests upon check-in for keys. I may stop in from time to time, but will not bother or enter the room without the permission of guest(s)","Please keep kitchen clean. Make sure porch door is always locked when not in use. Central AC temperature must stay above 70 degrees When checking out, please leave keys on the desk provided in the room. Do not have to worry about locking the door on the way out.",2016-04-18,within an hour,100%,100%,f,1,Mission Hill,Mission Hill,,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",,90.0,,$5.00,1,$15.00,2,1125,8,84.0,f,f,moderate,1.9
431,"My place is good for couples, solo adventurers, and business travelers.",,,- Shoes off inside the house - Please clean after yourself. Do not leave dishes and personal items in the common area such as the kitchen and Bathroom,2016-04-10,within an hour,100%,100%,f,4,Mission Hill,Mission Hill,,t,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Hot Tub"",Heating,""Smoke Detector"",""Safety Card"",Essentials,Shampoo,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",,80.0,$100.00,$10.00,1,$20.00,1,1125,9,93.0,f,t,strict,6.75
432,"Come and Get It!  Uber Cool,  Sunny,  Open, 3 Bedroom 2 full bath Duplex Apartment!  Accommodates up to 6.  Located just 1.5 miles from the city center,  in a historic brick rowhouse, on a private way,  in the desirable Fort Hill neighborhood.","Full Private 3 bed, 2 Bath apartment, Washer and Dryer in Basement.","We like to meet and orient guests with the city, share our over 25 years of experience living in Boston if needed and then allow guest privacy and freedom to explore on their own.","No Smoking,  Respect for other guests and neighbors.  Well behaved children only.  Limit noise after 10pm.  Please do dishes/run dishwasher prior to departure.   Parking is available on Linwood and Gardner streets 24 hours.    No parking is permitted on Centre Place.",2015-03-03,within a few hours,100%,68%,f,3,Mission Hill,Mission Hill,,t,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,275.0,,$85.00,2,$5.00,3,1125,28,95.0,f,f,strict,1.83
433,"My place is close to My place is close to My place is close to lots of delicious quick food, just a few train stops to Boston's best Newbury/ Boylston street, and also near Longwood Ave medical area and the Green T line(Brigham circle and Longwood ave stop). You’ll love my place because of the comfy bed, the coziness, and the spacious room/house with the many amenities. This private bedroom is good for couples, solo adventurers, and even business travelers!.",,,,2016-07-30,within an hour,100%,100%,f,2,Mission Hill,Mission Hill,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""Lock on Bedroom Door"",Hangers,Iron,""Laptop Friendly Workspace""}",,71.0,$300.00,$50.00,1,$0.00,1,1125,1,80.0,f,f,flexible,1.0
434,"This is a beautiful, high-ceilinged bedroom right by the T, with plenty of space and amenities! My husband and I will give you great tips on touring Boston but still leave you plenty of privacy. Peace, comfort, and convenience, all at a great price!","Guests will share the rest of the apartment with us - a fully equipped kitchen (dishwasher, stove, fridge, French press coffee, etc), the double sinks in the bathroom, and everything else in the common spaces (all but 1 bedroom).  The couches are really comfortable,  there's super high-speed WiFi (Xfinity Blast) throughout the apartment - and a HUGE 60 inch television with basic cable, an AppleTV and Netflix!","My husband and I are happy to help you find anywhere in the city you need to go, from entertainment to restaurants to grocery stores. We'll also lend you the access key to the laundry downstairs - which uses both coins and credit card.  We're happy to chat and hang out or let you enjoy your privacy - whatever you prefer!","No pets please - and no smoking in the apartment.  Other than that, we're flexible! We'll be here to answer any other questions you might have!",2011-09-28,within a few hours,100%,97%,f,2,Mission Hill,Mission Hill,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,125.0,,$10.00,1,$0.00,1,30,70,92.0,f,f,strict,1.93
436,"Located in the Longwood Medical area of Boston, this 1BR is ideal for traveling executives, visiting physicians, researchers, healthcare workers or for families caring for a loved one in extended stay. This is a delightful, penthouse treetop unit.",There is a front door with four flights of stairs to walk up to get to the apartment door.  Mine is the door on the right at the top floor.,I'll be staying in the master bedroom and available to answer any questions.,1. No parties. 2. Respect the neighbors. Noise level needs to stay low. 3. Keep feet on the porch when outside. 4. Clean any dishes you use. 5. No smoking ... even on porch. Not a good set up for children (0 - 13).,2013-09-24,within a few hours,88%,76%,f,2,Mission Hill,Mission Hill,,t,Apartment,Shared room,2,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo,Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49""}",,52.0,,,1,$25.00,7,1125,14,95.0,f,f,moderate,3.62
437,"1 of 2 rooms available that can sleep up to 6 people. This room has a double bed. You will have access to a full kitchen and the living room, with TV, Wi-Fi included. The bath is shared.","Guests will have their own bedroom(s) (up to 2 people in each room, if more then 2 one bed may be in the living room, or you can rent both bedrooms), access to the living room and TV, as well as the full kitchen. Their is only one bathroom in the apartment and that is shared with all guests and me.",I will be in the apartment while you are there. I enjoy spending time with my guests and getting to know them. I do work during the day but am usually home by 6. My office is only across the street so I am always in the neighborhood. I do work from home most weekends.,"1. No additional guests not part of the reservation in the building at all.  2. No Pets 3. No Smoking  4. No Children under 10. (The house is not child proof) 5. Remove your shoes 6. Check in is 3-11pm  7. Check out is 10am  *early check in or late check out must be arranged before the reservation starts and may not be accommodated* 8. The bathroom is a shared space, keep the sink clear, there is limited room for your bath products in the shower. 9. No Parties",2013-07-23,within a few hours,100%,100%,f,3,Mission Hill,Mission Hill,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,70.0,$150.00,$25.00,2,$0.00,2,1125,72,79.0,f,f,moderate,1.93
