,summary,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
773,"Looking for a memory instead of another hotel in yet another city? Welcome to Your Home in the Emerald City We have a great and charming apartment in a 100 year old building in Seattle, WA. just 1 block away from the University of Washington. Heart of university district, very near downtown and local stadiums. Huskies are a walk away. Seahawks and Mariners are just a bus ride away. We are just a block away from the post office. Outside your door is international Cuisine great spots for beer, dinner and activities.",2013-08-08,within an hour,100%,100%,f,2.0,University District,University District,University District,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Shampoo}",,89.0,$100.00,$25.00,2,$20.00,1,90,124,82.0,f,t,strict,4.59
775,"It has a Walk Score of 98 out of 100--Walker's Paradise. the Ave, UW Tower, Hotel Deca just across the street. Very clean . 5-8 min drive to Children Hospital, downtown Seattle,Portage Bay, Lake Union and Eastlake. Easy bus to Amazon or Microsoft.",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials,Shampoo}",,85.0,$100.00,$60.00,1,$15.00,1,1125,5,76.0,f,f,strict,0.29
777,Full 1BR apartment in the heart of the University District. 5-minute walk to any kind of food you could want and any bus line you might need to anywhere in the city. South-facing and sunny.,2010-09-08,within a day,100%,,f,1.0,University District,University District,University District,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector""}",,95.0,$95.00,,2,$10.00,2,1125,11,98.0,f,f,moderate,0.6
778,"This cozy four bedroom, 1 bathroom townhouse is steps away from the University of Washington, making it an ideal place for campus visitors. It's two floors, and has a common area and kitchen.",2015-09-01,,,,f,1.0,University District,University District,University District,t,Apartment,Entire home/apt,8,1.0,4.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,306.0,$250.00,$108.00,6,$40.00,1,180,1,80.0,f,f,strict,0.52
780,"This room is spacious, clean and comfortable only two blocks away from the University & 10 minutes on the bus to Downtown. Some of the best coffee shops, movie theaters, bookshops and ethnic restaurants are in the University District.",2015-01-30,within an hour,98%,100%,f,21.0,,University District,University District,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,47.0,$500.00,$10.00,1,$15.00,1,1125,14,87.0,f,t,strict,5.38
781,"Built, run and supported by Seattle tech and start up veterans, GrokHome's focus is to create a supportive environment for smart people working on interesting projects, start ups and more. This listing is a lower bunk, in a 2-person shared room.",2011-10-03,within an hour,90%,100%,f,37.0,University District,University District,University District,t,House,Shared room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,50.0,$350.00,$35.00,1,$0.00,4,1125,1,100.0,f,f,strict,1.0
782,"A new listing with a 100 Walk Score. 100%faster internet. the Ave, UW Tower, Hotel Deca just across the street. Remodeled kitchen & floor 5-8 min drive to Children Hospital, downtown Seattle, Lake Union and Eastlake. Easy bus to Amazon or Microsoft.",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",,105.0,$150.00,$60.00,1,$15.00,1,1125,3,80.0,f,f,moderate,0.44
783,"This apt has Walk Score of 98 out of 100. This location is a Walker's Paradise so no car is required. Super comfortable, quiet and clean. The W tower, Hotel Deca are just across street. Supermarket is just next block. ",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials,Shampoo}",,83.0,$150.00,$55.00,1,$15.00,3,1125,11,85.0,f,f,moderate,0.37
784,"Seattle University District, in a residential street, from where you can easily walk, or take public transport. If you have a car, we have a spot in the back of the house for you, so no worries about parking meters! Are you in town for a University event? Perfect place to stay. Just walk right out the door and you'll be there in no time. We have a kitty cat roaming through the house, and a garage band next door. Just letting you know in case you don't like cats or music.",2015-07-08,within an hour,100%,,f,1.0,,University District,University District,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,73.0,,$25.00,2,$25.00,1,1125,5,96.0,f,f,flexible,1.15
785,"Perfect Location: Center of East L./Greenlake, Fremont, and DT SEA! Steps from Burke -G Trail, Lake Union & University of Washington! - Private Beds/-Bathrooms, Queen Mats! Neighborhood Scores:  Walk: 98 Bike :91 Transit: 76 all = excellent/best!",2015-07-04,within an hour,93%,100%,f,2.0,University District,University District,University District,t,Townhouse,Entire home/apt,4,2.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,92.0,$225.00,$80.00,2,$10.00,1,28,34,97.0,f,f,strict,5.8
787,Take in the gorgeous view as you enjoy a cup of coffee on the balcony!,2012-04-26,,,,t,1.0,University District,University District,University District,t,Apartment,Shared room,2,1.0,1.0,1.0,Futon,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,59.0,,,1,$26.00,1,10,146,98.0,f,f,moderate,3.63
788,"Large 2 bdr 2 baths apt with many Luxuries on Quiet Street walk to UW, Ravenna park, University Village, Trail.  2 blocks to every bus line in Seattle,  6-8 min drive to Children Hospital, downtown Seattle,Portage Bay, Lake Union and the Eastlake   ",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,145.0,$250.00,$90.00,2,$20.00,1,1125,7,91.0,f,f,strict,1.02
789,"It has a Walk Score of 100--Walker's Paradise. remodeled. The Ave, UW Tower, Hotel Deca just across the street. Very clean . 5-8 min drive to Children Hospital, downtown Seattle,Portage Bay, Lake Union and Eastlake. Easy bus to Amazon or Microsoft.",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,95.0,$100.00,$60.00,1,$12.00,2,1125,7,66.0,f,f,moderate,0.37
790,"New Listing! Large 2 bedroom 2 baths apt with many washer/dryer/dishwasher/microwave oven/private deck on a quiet Street walk to UW,  Ravenna Park, University Village Shopping Center, good restaurants and Burke-Gilman Trail. Great Views of Lake/mount",2012-07-12,within a few hours,100%,100%,f,11.0,University District,University District,University District,t,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",,150.0,$100.00,$90.00,2,$15.00,1,1125,8,68.0,f,f,strict,0.44
791,"Two bedrooms in a cozy basement duplex in Seattle's University District. Close to bars, cheap eats, shopping, Ravenna Park and bus lines to Capitol Hill, Ballard, Downtown and Fremont. Fully equipped kitchen and a parking spot in our alley.",2014-10-08,within a few hours,95%,100%,f,1.0,,University District,University District,f,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",,85.0,,,1,$0.00,1,1125,1,100.0,f,f,flexible,1.0
792,"It has a Walk Score of 98 out of 100--Walker's Paradise. the Ave, UW Tower, Hotel Deca just across the street. Very clean . 5-8 min drive to Children Hospital, downtown Seattle,Portage Bay, Lake Union and Eastlake. Easy bus to Amazon or Microsoft.",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,98.0,$150.00,$60.00,1,$15.00,2,1125,2,80.0,f,f,moderate,0.26
793,"This cozy newly remodeled apartment is located in the heart of University of Washington districts. You are only one block from UW campus, three blocks from University Ave, ten minute drive or a bus rid to downtown Seattle, Capitol Hill.",2014-06-13,within an hour,100%,100%,f,3.0,University District,University District,University District,t,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,110.0,$300.00,$60.00,1,$10.00,2,1125,7,100.0,f,t,strict,0.74
795,"100 rare walk score!  Clean and quiet. Supermarkets, Movie Theater, and a variety of diverse restaurants are a only five-minute walk away. ",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,95.0,$150.00,$60.00,1,$15.00,2,1125,23,82.0,f,f,strict,1.23
796,"Built, run and supported by Seattle tech and start up veterans, GrokHome's focus is to create a supportive environment for smart people working on interesting projects, start ups and more. This listing is an upper bunk, in a 4-person shared room.",2011-10-03,within an hour,90%,100%,f,37.0,University District,University District,University District,t,House,Shared room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,42.0,$350.00,$35.00,1,$0.00,4,1125,2,90.0,f,f,strict,2.0
797,"Charming craftsmen home situated steps from Cowen Park, Greenlake, UW and Whole Foods.  92 walk score.  The home, is immaculate and well cared for inside and out.  Updated kitchen and baths.  Recently remodeled basement.  Quaint yard and back deck.  ",2014-08-10,within a day,83%,100%,f,1.0,Roosevelt,University District,University District,t,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,250.0,$800.00,$120.00,1,$0.00,3,1125,2,90.0,f,f,moderate,0.23
799,Hi! I'm renting my cute and cozy closet bedroom (the room is private) in my 500sqft apartment. It's charming and conveniently located a 1 minute walk from all major bus routes and directly across the street from the University of Washington.,2015-02-13,within a day,70%,100%,f,1.0,University District,University District,University District,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials,Shampoo}",,40.0,,$5.00,1,$0.00,1,1,4,90.0,f,f,flexible,2.35
801,"A townhouse nestled in the heart of the U-district. A stones throw away from Safeway (grocery store), University Village and the UW. You have the option of sleeping on our couch in the living room or on an air mattress in the living room.",2015-01-20,within a day,100%,100%,f,1.0,University District,University District,University District,t,Townhouse,Shared room,2,1.5,1.0,2.0,Couch,"{""Wireless Internet"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer""}",,40.0,,,1,$10.00,1,1125,1,80.0,f,f,flexible,0.91
805,"It has a Walk Score of 100 out of 100--Walker's Paradise. the Ave, UW Tower, Hotel Deca just across the street. Very clean . 5-8 min drive to Children Hospital, downtown Seattle,Portage Bay, Lake Union and Eastlake. Easy bus to Amazon or Microsoft.",2012-07-27,within a few hours,80%,100%,f,34.0,University District,University District,University District,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,105.0,$150.00,$60.00,1,$15.00,3,1125,5,70.0,f,f,strict,0.18
806,"It has a Walk Score of 100 out of 100--Walker's Paradise. the Ave, UW Tower, Hotel Deca just across the street. Very clean . 5-8 min drive to Children Hospital, downtown Seattle,Portage Bay, Lake Union and Eastlake. Easy bus to Amazon or Microsoft.",2012-07-12,within a few hours,100%,100%,f,11.0,University District,University District,University District,t,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",,150.0,$150.00,$90.00,2,$15.00,1,1125,1,60.0,f,f,moderate,0.88
807,"1907 charm meets modern efficiency in this stylish 3 bedroom 2 bath home. With a spacious floor plan, great amenities, excellent access to busses and restaurants, this Ravenna gem is perfect as your base for exploring the best of urban Seattle!",2011-05-18,within a day,60%,100%,f,1.0,University District,University District,University District,t,House,Entire home/apt,5,1.5,3.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",,250.0,,$100.00,1,$0.00,2,1125,5,100.0,f,f,flexible,1.11
808,"Your hideout in Seattle! Surround yourself with trees, birds and calm while you visit...a little bit of country in the city. We can't wait to meet you!",2011-06-09,within a day,75%,100%,t,1.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",,88.0,,$30.00,3,$15.00,1,730,93,96.0,f,f,moderate,1.68
810,"We have a garden apartment in the lower floor of our house located in Madison Valley.  We are 15 minutes to downtown on the 11 or 8 lines - 2 blocks from the Arboretum and a super market, and close to Madison Beach and the University of Washington. ",2012-06-29,within an hour,100%,100%,f,3.0,Minor,Harrison/Denny-Blaine,Central Area,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,128.0,$100.00,$10.00,3,$25.00,2,90,158,92.0,f,t,flexible,4.67
812,"A gorgeous one bedroom in-law suite located in Seattle's most desired Madison Park neighborhood, a five minute walk to beach, coffee and shopping.  Perfect for transition to Seattle.",2015-07-09,within a day,89%,100%,f,2.0,Madison Park,Harrison/Denny-Blaine,Central Area,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,210.0,$300.00,$80.00,1,$0.00,1,1125,2,100.0,f,f,strict,0.37
813,Welcome home.  Happy Winter days and nights. Welcome to 2016. Peaceful guests may reserve!,2012-10-02,within an hour,100%,,f,2.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,155.0,$300.00,$70.00,2,$40.00,20,120,49,93.0,f,f,strict,1.25
814,"    Relax and enjoy your visit to Seattle in this charming, clean and modern 2 bedroom apartment. You are centrally located in a safe and quiet neighborhood, close to the city's major attractions and one block from the arboretum's gardens and trails   ",2013-09-22,within an hour,90%,100%,t,1.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,168.0,$250.00,$45.00,4,$20.00,1,1125,75,100.0,f,t,moderate,6.92
815,"Chezanne is a small convenient studio in wonderful E. Capitol Hill / Madison Valley. Guests love the quiet but vibrant neighborhood and the proximity to nearby eateries, parks, & Seattle landmarks. Easy access to all!",2011-08-08,within an hour,100%,100%,f,5.0,Minor,Harrison/Denny-Blaine,Central Area,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,62.0,,$50.00,1,$0.00,2,10,44,96.0,f,f,strict,2.66
816,"Our cozy studio with its own deck may be small but it contains all your essential travel needs. Quiet, in a peaceful garden setting in the heart of Seattle's Madison Valley neighborhood.  Easy bus access and great restaurants just a block away.",2015-05-12,within a few hours,100%,100%,t,1.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,80.0,$100.00,$25.00,1,$0.00,2,1125,25,99.0,f,f,strict,4.55
817,"This Seattle apt is a fully furnished cozy one-bedroom with 50 inch tv, breakfast nook, kitchenette, w/d in unit, backyard access and amazingly convenient location.  Private entrance with easy street parking perfect for exploring the Emerald city!",2011-07-16,within an hour,80%,100%,f,2.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,105.0,$200.00,$95.00,1,$0.00,2,1125,28,96.0,f,f,strict,3.77
818,"Spacious basement suite w/ cozy bedroom & full-sized bed, private full bath, & well-lit living room w/ extra fold-out sofa. Private entry thru garage. Easy parking & transit. Centrally located safe neighborhood. Near Capitol Hill, UW, & downtown.",2014-08-20,within an hour,100%,100%,f,1.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,House,Private room,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",""Other pet(s)"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,50.0,$95.00,$10.00,2,$15.00,1,14,2,100.0,f,f,moderate,2.0
820,"1 bedroom (sleeps one) with private 1/2 bath in room. Share upper floor shower/bath and fully furnished main floor of classic home w/art and antiques. Desired neighborhood near Lake Washington, U of W, Seattle University,  Capitol Hill, and downtown. Boutique shops, bus lines, restaurants, and coffee nearby.",2014-04-06,,,,t,3.0,Harrison/Denny-Blaine,Harrison/Denny-Blaine,Central Area,t,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Essentials}",,165.0,$250.00,,1,$0.00,2,7,1,100.0,f,f,strict,0.23
822,"Just outside the bustle of Capitol Hill, our home is on a safe, quite, tree-lined street. The bright, cozy studio includes modern finishes, vintage furniture, and a private patio. A five minute stroll brings you to restaurants, shops, art, and music!",2014-08-25,within an hour,100%,100%,t,1.0,,Minor,Central Area,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,95.0,,$50.00,1,$0.00,3,32,68,98.0,f,f,moderate,4.27
823,"Beautifully renovated one bedroom carriage house on Cherry Hill near Seattle U, Swedish Hospital and Capital Hill. Garden patio with herb & flower planter boxes & hibachi. Flat screen TV, cable, AC, wifi, queen size bed, full bath and kitchen.",2015-06-09,within an hour,90%,100%,f,1.0,Minor,Minor,Central Area,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,90.0,,$26.00,1,$0.00,1,1125,52,93.0,f,t,moderate,7.57
824,"This is the main, separate top two stories of my home which I list when I am on holiday. It is very spacious with a modern yet stately style. The ground floor has a large living room, large dinning room, a large modern kitchen and large entry way. The second floor has three good size bedrooms, one king bed, one queen and one double bed, and two bathrooms.  All the artwork on the walls are mine. Photography is my out let but mostly do bodies of work for exhibitions. You will love the place. I do.",2013-03-04,within an hour,100%,100%,f,2.0,Minor,Minor,Central Area,t,House,Entire home/apt,8,2.5,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,380.0,$300.00,$100.00,4,$40.00,3,28,3,100.0,f,f,strict,0.53
825,"Lovely turn of the century home, walking distance to cafes/restaurants in Capitol Hill neighborhood. Close to Downtown and Lake Washington parks/swimming beaches. Comfortably sleeps 8. Enjoy a beautiful patio/garden in the heart of the city.",2014-03-08,within a day,100%,100%,f,1.0,Minor,Minor,Central Area,t,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,225.0,$500.00,$150.00,4,$0.00,3,29,3,100.0,f,f,strict,0.16
826,What a great location!  Everything you need is just a few minutes away.  Walk to Seattle's trendy Capital Hill neighborhood with amazing restaurants and boutiques.  This beautiful modern bedroom has everything you need for your stay.,2015-08-08,within an hour,100%,100%,f,2.0,Minor,Minor,Central Area,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,60.0,,,1,$0.00,1,1125,12,95.0,f,f,flexible,3.19
828,"Beautifully appointed 2 BR, 2.5 bath townhome in Capitol Hill.  Each BR has queen bed, TV, & bath.  Spacious upstairs living area.  Killer views of mountains.  1400 sq feet; 95/91 walk/bike scores.  Short walk to 2 groceries & restaurants, cafes, etc",2014-11-19,within a day,100%,100%,f,1.0,Minor,Minor,Central Area,t,House,Entire home/apt,5,2.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,157.0,,$100.00,5,$60.00,2,1125,25,98.0,f,f,flexible,1.94
829,"Eco-friendly green built home that's only a few mins walk to some of the cities hip and trendy restaurants, bars and stores.  One block to public transportation.  Enjoy a private entrance, radiant floors, a deep soaking tub and a private patio.",2013-11-21,,,,t,1.0,Minor,Minor,Central Area,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Heating,""Smoke Detector"",Essentials,Shampoo}",,110.0,,$30.00,1,$0.00,3,1125,43,99.0,f,f,strict,2.19
830,"Be next to all of the action on Capitol Hill! Within a few blocks of everything that happens in the hip neighborhood, close to great dining, bars and sites that Seattle has to offer. Oh, and the patio overlooking it all is great for people watching.",2013-11-10,within an hour,100%,100%,f,1.0,Minor,Minor,Central Area,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",Shampoo}",,150.0,,$30.00,1,$0.00,2,30,8,93.0,f,t,flexible,0.65
